Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,FinanceManager.Application\FinanceManager.Application.csproj,File,FinanceManager.Application\FinanceManager.Application.csproj,,,Microsoft.AspNetCore.Cryptography.KeyDerivation 9.0.11,,,,,"Microsoft.AspNetCore.Cryptography.KeyDerivation, 9.0.11  Empfehlung:  Remove Microsoft.AspNetCore.Cryptography.KeyDerivation, and replace with new package Microsoft.AspNetCore.Cryptography.KeyDerivation 10.0.3"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,FinanceManager.Application\FinanceManager.Application.csproj,File,FinanceManager.Application\FinanceManager.Application.csproj,,,Microsoft.EntityFrameworkCore 9.0.11,,,,,"Microsoft.EntityFrameworkCore, 9.0.11  Empfehlung:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,FinanceManager.Application\FinanceManager.Application.csproj,File,FinanceManager.Application\FinanceManager.Application.csproj,,,Microsoft.Extensions.Caching.Memory 9.0.11,,,,,"Microsoft.Extensions.Caching.Memory, 9.0.11  Empfehlung:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.3"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,FinanceManager.Application\FinanceManager.Application.csproj,File,FinanceManager.Application\FinanceManager.Application.csproj,,,Microsoft.Extensions.Hosting.Abstractions 9.0.11,,,,,"Microsoft.Extensions.Hosting.Abstractions, 9.0.11  Empfehlung:  Remove Microsoft.Extensions.Hosting.Abstractions, and replace with new package Microsoft.Extensions.Hosting.Abstractions 10.0.3"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,FinanceManager.Application\FinanceManager.Application.csproj,File,FinanceManager.Application\FinanceManager.Application.csproj,,,Microsoft.Extensions.Identity.Core 9.0.11,,,,,"Microsoft.Extensions.Identity.Core, 9.0.11  Empfehlung:  Remove Microsoft.Extensions.Identity.Core, and replace with new package Microsoft.Extensions.Identity.Core 10.0.3"
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,FinanceManager.Application\FinanceManager.Application.csproj,File,FinanceManager.Application\FinanceManager.Application.csproj,,,,,,,,Aktuelles Zielframework: net9.0 Empfohlenes Zielframework: net10.0
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,FinanceManager.Domain\FinanceManager.Domain.csproj,File,FinanceManager.Domain\FinanceManager.Domain.csproj,,,Microsoft.AspNetCore.Cryptography.KeyDerivation 9.0.11,,,,,"Microsoft.AspNetCore.Cryptography.KeyDerivation, 9.0.11  Empfehlung:  Remove Microsoft.AspNetCore.Cryptography.KeyDerivation, and replace with new package Microsoft.AspNetCore.Cryptography.KeyDerivation 10.0.3"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,FinanceManager.Domain\FinanceManager.Domain.csproj,File,FinanceManager.Domain\FinanceManager.Domain.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.11,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.11  Empfehlung:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.3"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,FinanceManager.Domain\FinanceManager.Domain.csproj,File,FinanceManager.Domain\FinanceManager.Domain.csproj,,,Microsoft.EntityFrameworkCore 9.0.11,,,,,"Microsoft.EntityFrameworkCore, 9.0.11  Empfehlung:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,FinanceManager.Domain\FinanceManager.Domain.csproj,File,FinanceManager.Domain\FinanceManager.Domain.csproj,,,Microsoft.Extensions.Caching.Memory 9.0.11,,,,,"Microsoft.Extensions.Caching.Memory, 9.0.11  Empfehlung:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.3"
